"R_Med_Tests","Units","Min","First_Q","Median","Mean","Third_Q","Max","Total_Data_Points","Num_Outlier","Outlier_Per"
"PT NORMAL POOL, 0 MINUTES","sec",13.5,13.6,13.7,13.7,13.8,13.9,2,0,0
"NORMETANEPH, UR-PER VOL","nmol/L",93,854.75,1616.5,1616.5,2378.25,3140,2,0,0
"VCO2 (L/M) PEAK","L/min",1.44,1.4475,1.455,1.455,1.4625,1.47,2,0,0
"PLASMA CELLS %","%",0.8,1.05,1.3,1.3,1.55,1.8,2,0,0
"IMMATURE PLATELET FRACTION","%",2.5,2.6,2.7,2.7,2.8,2.9,2,0,0
"NICOTINE, URINE","ng/mL",22,23.5,25,25,26.5,28,2,0,0
"HCO3 VENOUS, POC","mmol/L",22.3,22.8,23.3,23.3,23.8,24.3,2,0,0
"PH VENOUS, POC","",7.33,7.3375,7.345,7.345,7.3525,7.36,2,0,0
"VO2 (L/M) AT","L/min",1.04,1.0425,1.045,1.045,1.0475,1.05,2,0,0
"5-HIAA","mg/d",3,3,3,3,3,3,2,0,0
"MATERNAL WEIGHT","",171,172.25,173.5,173.5,174.75,176,2,0,0
"END TIDAL CO2 (PEAK PETCO2) - AT","mmHg",41,42.75,44.5,44.5,46.25,48,2,0,0
"METANEPHRINE, UR-PER VOL","ug/L",45,45.25,45.5,45.5,45.75,46,2,0,0
"METHYLMALONIC ACID MMOL/MOL, UR","mmol/m",1.6,1.65,1.7,1.7,1.75,1.8,2,0,0
"AMITRIP/NORTRIP TOTAL","ng/mL",179,190.25,201.5,201.5,212.75,224,2,0,0
"CORTISOL, 30 MINUTE","mcg/dL",14.5,18.925,23.35,23.35,27.775,32.2,2,0,0
"SELENIUM, SERUM","ug/L",131,147.5,164,164,180.5,197,2,0,0
"LDL DIRECT","MG/DL",86,106.75,127.5,127.5,148.25,169,2,0,0
"MELD","",7,7,7,7,7,7,2,0,0
"11 MIX, 60 MINUTES","sec",15,15.575,16.15,16.15,16.725,17.3,2,0,0
"URIC ACID, URINE","g/col.time",0.28,0.41,0.54,0.54,0.67,0.8,2,0,0
"BASOPHILS %(CSF)","%",0,0,0,0,0,0,2,0,0
"SYSTOLIC BP","mmHG",122,122.5,123,123,123.5,124,2,0,0
"NORTRIPTYLINE, SERUM","ng/mL",27,123.25,219.5,219.5,315.75,412,2,0,0
"REACTIVE LYMPHS % (SYN FL)","%",0,0,0,0,0,0,2,0,0
"HEMATOCRIT, CAPILLARY","%",24,28.05,32.1,32.1,36.15,40.2,2,0,0
"TIDAL VOL (VT) L PEAK","L",1.1,1.135,1.17,1.17,1.205,1.24,2,0,0
"GLUTAMIC ACID SIN QT PLASMA","umol/L",16,18.25,20.5,20.5,22.75,25,2,0,0
"RV/TLC PRE (% REF)","%",91,99,107,107,115,123,2,0,0
"HSV 2 IGG","IV",0.12,1.9075,3.695,3.695,5.4825,7.27,2,0,0
"EXER SAT","%",87,89.75,92.5,92.5,95.25,98,2,0,0
"URINE RESULTS REPORT PER","hours",24,24,24,24,24,24,2,0,0
"ABSOLUTE EOSINOPHIL COUNT","cu mm",0,38.75,77.5,77.5,116.25,155,2,0,0
"TAURINE SIN QT PLASMA","umol/L",26,26,26,26,26,26,2,0,0
"ANTIGEN, IGE LEVEL","Class",0,0,0,0,0,0,2,0,0
"PLASMA CELLS #","K/cu mm",0.11,0.1175,0.125,0.125,0.1325,0.14,2,0,0
"TREE MIX IGE","Class",0,0,0,0,0,0,2,0,0
"VD/VT (EST) AT","mL",240,244.5,249,249,253.5,258,2,0,0
"FIO2 VENOUS, POC","",37,37.25,37.5,37.5,37.75,38,2,0,0
"RESPIRATORY QUOTIENT (RQ) BASE","",0.85,0.8525,0.855,0.855,0.8575,0.86,2,0,0
"SPO2 BASE","%",100,100,100,100,100,100,2,0,0
"VE MAX (L/M) BTPS AT","L/min",27.1,27.925,28.75,28.75,29.575,30.4,2,0,0
"POTASSIUM COMMENT","",3.9,3.9,3.9,3.9,3.9,3.9,1,0,0
"SSA AB","",18,18,18,18,18,18,1,0,0
"D-DIMER, DIC","ug/mL",402,402,402,402,402,402,1,0,0
"TYPE III RBC","%",0,0,0,0,0,0,1,0,0
"HEPATITIS B AB QUANT","",9.5,9.5,9.5,9.5,9.5,9.5,1,0,0
"END TIDAL O2 (PEAK PETO2) - REST","mmHg",105,105,105,105,105,105,1,0,0
"PCO2, MIXED","mmHg",53,53,53,53,53,53,1,0,0
"NOREPINEPHRINE/CREAT RATIO","ug/gCR",48,48,48,48,48,48,1,0,0
"CSF WBC 4","CELLS/uL",325,325,325,325,325,325,1,0,0
"STOOL DATE COLLECTION","",62206,62206,62206,62206,62206,62206,1,0,0
"REACTIVE LYMPHS (%)","%",2,2,2,2,2,2,1,0,0
"OSTEOCALCIN","ng/mL",1,1,1,1,1,1,1,0,0
"OPIATE SCREEN, URINE","",0,0,0,0,0,0,1,0,0
"COCAINE CONC, URINE","ng/mL",51,51,51,51,51,51,1,0,0
"HDL COMMENT","",183,183,183,183,183,183,1,0,0
"ALBUMIN, SERUM","mg/dL",4170,4170,4170,4170,4170,4170,1,0,0
"AMPHETAMINE SCREEN, URINE","",0,0,0,0,0,0,1,0,0
"CK TOTAL","U/L",23,23,23,23,23,23,1,0,0
"STOOL WEIGHT","g",239,239,239,239,239,239,1,0,0
"U1 AB, IGG","AU/mL",0,0,0,0,0,0,1,0,0
"ETHANOLAMINE PLASMA","umol/L",79,79,79,79,79,79,1,0,0
"THYROGLOBULIN, SERUM","ng/mL",7.9,7.9,7.9,7.9,7.9,7.9,1,0,0
"C1 ESTERASE FUNC INHIBITOR","%",110,110,110,110,110,110,1,0,0
"NUCHAL TRANSLUCENCY","MoM",0.92,0.92,0.92,0.92,0.92,0.92,1,0,0
"METHADONE CONC, URINE","ng/mL",283,283,283,283,283,283,1,0,0
"METHOTREXATE, 11PM -6AM","umol/L",0.89,0.89,0.89,0.89,0.89,0.89,1,0,0
"DOWN'S AVE. RISK FOR MAT. AGE","",1460,1460,1460,1460,1460,1460,1,0,0
"STOOL TIME COLLECTION","",1522,1522,1522,1522,1522,1522,1,0,0
"BETA ALANINE PLASMA","umol/L",9,9,9,9,9,9,1,0,0
"SALICYLATE","mg/dL",2.2,2.2,2.2,2.2,2.2,2.2,1,0,0
"HCO3, MIXED","mmol/L",25,25,25,25,25,25,1,0,0
"COLLECTION INTERVAL","hr",24,24,24,24,24,24,1,0,0
"EST GFR IF AFR-AM","mL/min",44,44,44,44,44,44,1,0,0
"SWEAT CHLORIDE","mmol/L",27,27,27,27,27,27,1,0,0
"CODEINE UR, CONFIRM","ng/mL",1362,1362,1362,1362,1362,1362,1,0,0
"2 HOUR GLUCOSE HX","mg/dL",151,151,151,151,151,151,1,0,0
"DUSTMITES DF/DP MIX IGE","",0,0,0,0,0,0,1,0,0
"GENTAMICIN, RANDOM","ug/mL",2.9,2.9,2.9,2.9,2.9,2.9,1,0,0
"METHADONE SCREEN, URINE","",0,0,0,0,0,0,1,0,0
"ALBUMIN EXCRETION RATE","mg/interval",6,6,6,6,6,6,1,0,0
"LACOSAMIDE","",4.2,4.2,4.2,4.2,4.2,4.2,1,0,0
"AG 2 RESULT","Class",0,0,0,0,0,0,1,0,0
"BANANA IGE","Class",0,0,0,0,0,0,1,0,0
"DAYS (BASED ON)","",5,5,5,5,5,5,1,0,0
"MORPHINE-GLUCURONIDE","ng/ml",66,66,66,66,66,66,1,0,0
"THYROID STIMULATING IMMUNOGLOBULIN","%",95,95,95,95,95,95,1,0,0
"VARICELLA ZOSTER IGG","",1.33,1.33,1.33,1.33,1.33,1.33,1,0,0
"1-METHYLHISTIDINE PLASMA","umol/L",5,5,5,5,5,5,1,0,0
"INSULIN ANTIBODIES","U/mL",83,83,83,83,83,83,1,0,0
"MORPHINE UR, CONFIRM","ng/mL",513,513,513,513,513,513,1,0,0
"ABG PCO2","",41,41,41,41,41,41,1,0,0
"CORTISOL, URINE FREE - PER VOL","ug/L",14,14,14,14,14,14,1,0,0
"AFPA, GESTATIONAL AGE, DAYS","days",6,6,6,6,6,6,1,0,0
"EPINEPHRINE","pg/mL",11,11,11,11,11,11,1,0,0
"DOWN SYNDROME AGE RELATED RISK","",0.173611111,0.173611111,0.173611111,0.173611111,0.173611111,0.173611111,1,0,0
"SERINE PROTEASE 3","AU/mL",0,0,0,0,0,0,1,0,0
"CSF IGG SYNTHESIS RATE","mg/d",0.6,0.6,0.6,0.6,0.6,0.6,1,0,0
"RESPIRATORY RATE - AT","br/min",26,26,26,26,26,26,1,0,0
"HCG, M. O. M.","",2.95,2.95,2.95,2.95,2.95,2.95,1,0,0
"PROPOXYPHENE","NG/ML",0,0,0,0,0,0,1,0,0
"GENTAMICIN, TROUGH","ug/mL",2.6,2.6,2.6,2.6,2.6,2.6,1,0,0
"BAL CD4 % TCELLS","%",38.1,38.1,38.1,38.1,38.1,38.1,1,0,0
"PO2 VENOUS, POC","mmHg",16,16,16,16,16,16,1,0,0
"GESTATIONAL AGE/DRAW, WEEKS","Weeks",12.9,12.9,12.9,12.9,12.9,12.9,1,0,0
"PATIENT, 0 MINUTES","sec",12.2,12.2,12.2,12.2,12.2,12.2,1,0,0
"GLUCOSE CHECK","",133,133,133,133,133,133,1,0,0
"T3 TOTAL","ng/dL",102,102,102,102,102,102,1,0,0
"HEART RATE (BPM) % REF","%",89,89,89,89,89,89,1,0,0
"DATE OF REACTION","",70200,70200,70200,70200,70200,70200,1,0,0
"GENTAMICIN, PEAK","ug/mL",4.2,4.2,4.2,4.2,4.2,4.2,1,0,0
"AFP MATERNAL SERUM","ng/mL",65.4,65.4,65.4,65.4,65.4,65.4,1,0,0
"MERCURY, UR (UG/D)","ug/d",0,0,0,0,0,0,1,0,0
"AVOCADO IGE","Class",0,0,0,0,0,0,1,0,0
"PROTEIN S ACTIVITY","U/mL",0.82,0.82,0.82,0.82,0.82,0.82,1,0,0
"ASP GALACT INDEX BAL","",0.32,0.32,0.32,0.32,0.32,0.32,1,0,0
"KETONE BODIES, PLASMA","mg/dL",15,15,15,15,15,15,1,0,0
"MERCURY, UR (UG/L)","ug/L",0,0,0,0,0,0,1,0,0
"BAL FLOW % LYMPH","%",43.4,43.4,43.4,43.4,43.4,43.4,1,0,0
"PO2, MIXED","mmHg",31,31,31,31,31,31,1,0,0
"ALBUMIN, CSF","mg/dL",112,112,112,112,112,112,1,0,0
"CALCITONIN, PLASMA","pg/mL",3.8,3.8,3.8,3.8,3.8,3.8,1,0,0
"WEED MIX IGE","Class",0,0,0,0,0,0,1,0,0
"METHOTREXATE","mcmol/L",4,4,4,4,4,4,1,0,0
"PPD REDNESS","mm",0,0,0,0,0,0,1,0,0
"PPD INDURATION","mm",0,0,0,0,0,0,1,0,0
"AUTO ABS IMM GRAN","x10'3/uL",0.03,0.03,0.03,0.03,0.03,0.03,1,0,0
"CALC % O2 SAT VEN, POC","%",16.6,16.6,16.6,16.6,16.6,16.6,1,0,0
"ANTI-NUCLEAR AB(ANA), IGG BY IFA","",0.097222222,0.097222222,0.097222222,0.097222222,0.097222222,0.097222222,1,0,0
"11 MIX, 0 MINUTES","sec",14.7,14.7,14.7,14.7,14.7,14.7,1,0,0
"HCG QUANT SERUM","MIU/ML",60466,60466,60466,60466,60466,60466,1,0,0
"BASE EXCESS ARTERIAL, CCL INTRAPROC","",-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,1,0,0
"BARTONELLA HENSELAE IGM","IV",0.3,0.3,0.3,0.3,0.3,0.3,1,0,0
"ALBUMIN, BODY FLUID","g/dL",2.1,2.1,2.1,2.1,2.1,2.1,1,0,0
"BAL CD103 CD4/CD4 RAT","%",0.2,0.2,0.2,0.2,0.2,0.2,1,0,0
"AFPM, GEST. AGE, DAYS","",5,5,5,5,5,5,1,0,0
"UREA NITROGEN, SERUM","mg/dL",22,22,22,22,22,22,1,0,0
"AFPA, PATIENT RESULT","ug/ml",19.6,19.6,19.6,19.6,19.6,19.6,1,0,0
"LEAD, URINE UG/GCRT","ug/gCR",0,0,0,0,0,0,1,0,0
"BAL CD8 % TCELLS","%",59.5,59.5,59.5,59.5,59.5,59.5,1,0,0
"ETHAMBUTOL LEVEL - 2 HOUR POST DOSE","",2,2,2,2,2,2,1,0,0
"ASPERGILLUS IGG/FEIA","% Ref Std/Class",20,20,20,20,20,20,1,0,0
"DOPAMINE, UR-PER VOL","ug/L",326,326,326,326,326,326,1,0,0
"LATEX IGE","Class",0,0,0,0,0,0,1,0,0
"SPECIMEN VOLUME","mL",3500,3500,3500,3500,3500,3500,1,0,0
"AFPM, PT. MOM","",1.95,1.95,1.95,1.95,1.95,1.95,1,0,0
"HEPATITIS C AB INDEX","IV",0.08,0.08,0.08,0.08,0.08,0.08,1,0,0
"SARCOSINE PLASMA","umol/L",17,17,17,17,17,17,1,0,0
"O2 SAT, MIXED","%",54.5,54.5,54.5,54.5,54.5,54.5,1,0,0
"IRON TOTAL, URINE","ug/specimen",72,72,72,72,72,72,1,0,0
"CROWN RUMP LENGTH (CRL)","mm",67,67,67,67,67,67,1,0,0
"PSA, ULTRASENSITIVE","ng/mL",0,0,0,0,0,0,1,0,0
"HEMOGLOBIN SERUM","mg/dL",7.2,7.2,7.2,7.2,7.2,7.2,1,0,0
"5-HIAA (MG/GCR)","mg/g",5,5,5,5,5,5,1,0,0
"CARBON MONOXIDE","%",3.5,3.5,3.5,3.5,3.5,3.5,1,0,0
"ROCKY MTN SPOTTED FEVER IGG","IV",0,0,0,0,0,0,1,0,0
"COTININE, URINE","ng/mL",570,570,570,570,570,570,1,0,0
"ETHYL GLUCURONIDE, URINE","",8700,8700,8700,8700,8700,8700,1,0,0
"ACYL CARNITINE","umol/L",4.1,4.1,4.1,4.1,4.1,4.1,1,0,0
"ARG VASOPRESSIN HORMONE","pg/mL",0.7,0.7,0.7,0.7,0.7,0.7,1,0,0
"ALBUMIN INDEX","ratio",26.9,26.9,26.9,26.9,26.9,26.9,1,0,0
"EPSTEIN-BARR VIRUS BY PCR","copies/ml",690,690,690,690,690,690,1,0,0
"TETANUS AB","IU/mL",1.04,1.04,1.04,1.04,1.04,1.04,1,0,0
"NT (USM)","mm",1.5,1.5,1.5,1.5,1.5,1.5,1,0,0
"VE/VCO2 PEAK","",28,28,28,28,28,28,1,0,0
"KAPPA LIGHT CHAIN, SER","mg/dL",2.78,2.78,2.78,2.78,2.78,2.78,1,0,0
"SSB (LA) AB, IGG","AU/mL",0,0,0,0,0,0,1,0,0
"PROTEIN C, ACTIVITY","% normal",84,84,84,84,84,84,1,0,0
"BASE EXCESS, MIXED","",-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,1,0,0
"HEP C CONFIRMATION REFLEX PCR IU","IU/mL",4209476,4209476,4209476,4209476,4209476,4209476,1,0,0
"VMA, UR (MG/L)","mg/L",1.3,1.3,1.3,1.3,1.3,1.3,1,0,0
"CSF IGG/ALBUMIN RATIO","ratio",0.08,0.08,0.08,0.08,0.08,0.08,1,0,0
"AMPHOTERICICN B MIC","ug/mL",0.5,0.5,0.5,0.5,0.5,0.5,1,0,0
"PO2 ARTERIAL, POC CCL INTRAPROC","mmHg",73,73,73,73,73,73,1,0,0
"IODINE, URINE","ug/spec",21,21,21,21,21,21,1,0,0
"METS","",7,7,7,7,7,7,1,0,0
"SYSTOLIC BP - AT","mmHg",131,131,131,131,131,131,1,0,0
"FRUCTOSAMINE","umol/L",263,263,263,263,263,263,1,0,0
"FACTOR II ACTIVITY","U/mL",0.11,0.11,0.11,0.11,0.11,0.11,1,0,0
"KIWI IGE","Class",0,0,0,0,0,0,1,0,0
"FACTOR XII ACTIVITY","U/mL",0.82,0.82,0.82,0.82,0.82,0.82,1,0,0
"CHESTNUT IGE","Class",0,0,0,0,0,0,1,0,0
"NUCLEATED RED BLOOD CELLS / 100 CELLS","",1,1,1,1,1,1,1,0,0
"CORTISOL, URINE FREE - RATIO TO CRT","ug/g CRT",15.22,15.22,15.22,15.22,15.22,15.22,1,0,0
"SMITH AB, IGG","AU/mL",0,0,0,0,0,0,1,0,0
"1 HOUR GLUCOSE - 2GT","mg/dL",212,212,212,212,212,212,1,0,0
"VONWILLEBRAND ACTIVITY, PLASMA","U/mL",1.45,1.45,1.45,1.45,1.45,1.45,1,0,0
"VO2 (ML/KG/MIN) % REF","%",75,75,75,75,75,75,1,0,0
"ARSENIC, URINE UG/GCRT","ug/gCR",34.1,34.1,34.1,34.1,34.1,34.1,1,0,0
"FACTOR XI ACTIVITY","U/mL",0.88,0.88,0.88,0.88,0.88,0.88,1,0,0
"UREA NITROGEN, URINE","g/24hrs",5.4,5.4,5.4,5.4,5.4,5.4,1,0,0
"VO2 (ML/KG/MIN) BASE","mL/kg/min",2,2,2,2,2,2,1,0,0
"ANTI-DSDNA QUANT","IU/mL",1,1,1,1,1,1,1,0,0
"LEAD, UR (UG/L)","ug/L",0,0,0,0,0,0,1,0,0
"SAMPLE VOLUME","uL",60,60,60,60,60,60,1,0,0
"% MIXED CELLS","%",3.7,3.7,3.7,3.7,3.7,3.7,1,0,0
"P2Y12 REACTION UNITS","PRU",228,228,228,228,228,228,1,0,0
"DATE (GEST. AGE BASED ON)","",21500,21500,21500,21500,21500,21500,1,0,0
"LEUK ALK PHOSPHATASE STAIN","",195,195,195,195,195,195,1,0,0
"LYME AB ELISA, SER","LIV",0.37,0.37,0.37,0.37,0.37,0.37,1,0,0
"KETONE BODIES, URINE","mg/dL",5,5,5,5,5,5,1,0,0
"SSA60RO","AU/mL",67,67,67,67,67,67,1,0,0
"POSACONAZOLE MIC","ug/mL",0.5,0.5,0.5,0.5,0.5,0.5,1,0,0
"DIASTOLIC BP - PEAK","mmHg",82,82,82,82,82,82,1,0,0
"GLIADIN PEPTIDE AB, IGG","Units",1,1,1,1,1,1,1,0,0
"MERCURY, URINE UG/GCRT","ug/gCR",0,0,0,0,0,0,1,0,0
"TIDAL VOL (VT) L BASE","L",0.33,0.33,0.33,0.33,0.33,0.33,1,0,0
"IODINE, URINE, RANDOM","mcg/L",11474,11474,11474,11474,11474,11474,1,0,0
"EPINEPHRINE, UR-PER VOL","ug/L",3,3,3,3,3,3,1,0,0
"SODIUM, URINE","mmol/24hrs",29,29,29,29,29,29,1,0,0
"BUPRENORPHINE, URINE","ng/mL",12,12,12,12,12,12,1,0,0
"GABAPENTIN","ug/mL",4.7,4.7,4.7,4.7,4.7,4.7,1,0,0
"ABG PULSE OXIMETER","%",96,96,96,96,96,96,1,0,0
"AMA TITER, SERUM","Dil.",0.152777778,0.152777778,0.152777778,0.152777778,0.152777778,0.152777778,1,0,0
"BF MONONUCLEAR %","%",41,41,41,41,41,41,1,0,0
"O2 PULSE (ML/BEAT) - PEAK","mL/beat",8,8,8,8,8,8,1,0,0
"OXALATE","mg/d",47,47,47,47,47,47,1,0,0
"AFPA GEST AGE, WEEKS","weeks",14,14,14,14,14,14,1,0,0
"ANTI DNA QUANT","IU/mL",5.1,5.1,5.1,5.1,5.1,5.1,1,0,0
"ASPERGILLUS IGE","kU/L",0.21,0.21,0.21,0.21,0.21,0.21,1,0,0
"TOTAL CO2 ARTERIAL, POC CCL INTRAPROC","mmol/L",23,23,23,23,23,23,1,0,0
"3 HOUR GLUCOSE HX","mg/dL",132,132,132,132,132,132,1,0,0
"LIVER, SERUM","U/L",103,103,103,103,103,103,1,0,0
"HCO3 ARTERIAL POC CCL INTRAPROC","mmol/L",22.3,22.3,22.3,22.3,22.3,22.3,1,0,0
"URIC ACID CONC, URINE","mg/dL",60.6,60.6,60.6,60.6,60.6,60.6,1,0,0
"BAL CD3 % LYMPH","%",94.6,94.6,94.6,94.6,94.6,94.6,1,0,0
"LIPASE BODY FLUID","U/L",185875,185875,185875,185875,185875,185875,1,0,0
"AG 6 RESULT","Class",0,0,0,0,0,0,1,0,0
"PH, URINE","",6.5,6.5,6.5,6.5,6.5,6.5,1,0,0
"GLUCOSE, SERUM","mg/dL",94,94,94,94,94,94,1,0,0
"2 HOUR GLUCOSE","mg/dL",228,228,228,228,228,228,1,0,0
"ATYPICAL CELLS %(CSF)","%",0,0,0,0,0,0,1,0,0
"CSF NEUT % 4","%",3,3,3,3,3,3,1,0,0
"AUTO % IMM GRAN","%",0.4,0.4,0.4,0.4,0.4,0.4,1,0,0
"WORK (WATTS) FOR BIKE - AT","Watts",205,205,205,205,205,205,1,0,0
"TRISOMY 18 AGE RELATED RISK","",0.5,0.5,0.5,0.5,0.5,0.5,1,0,0
"BETA 1 GLOBULIN","",0.8,0.8,0.8,0.8,0.8,0.8,1,0,0
"PAT TEMP VENOUS, POC","",36.9,36.9,36.9,36.9,36.9,36.9,1,0,0
"PAPP-A","MoM",0.9,0.9,0.9,0.9,0.9,0.9,1,0,0
"AMITRYPTYLINE, SERUM","ng/mL",134,134,134,134,134,134,1,0,0
"VD/VT (EST) PEAK","mL",255,255,255,255,255,255,1,0,0
"CORTISOL(ACTHSTM)","pg/mL",14,14,14,14,14,14,1,0,0
"FREE CARNITINE","umol/L",27.2,27.2,27.2,27.2,27.2,27.2,1,0,0
"VCO2 (L/M) AT","L/min",1.1,1.1,1.1,1.1,1.1,1.1,1,0,0
"APO B","mg/dL",163,163,163,163,163,163,1,0,0
"PH, MIXED","",7.29,7.29,7.29,7.29,7.29,7.29,1,0,0
"METHYLMALONIC ACID UMOL/L, UR","umol/L",8.4,8.4,8.4,8.4,8.4,8.4,1,0,0
"9-CARBOXY-DELTA-9-THC CONFIRM","ng/mL",33,33,33,33,33,33,1,0,0
"OPEN SPINA BIFIDA PT RISK 1.","",847,847,847,847,847,847,1,0,0
"TESTOSTERONE, FREE+ TOTAL","pg/mL",66,66,66,66,66,66,1,0,0
"VO2 IDEAL LBM (ML/KG LBM/MIN) - AT","mL/kgLBM/min",17.6,17.6,17.6,17.6,17.6,17.6,1,0,0
"CSF RBC 1","CELLS/uL",13,13,13,13,13,13,1,0,0
"PLATELET RESPONSE- ASPIRIN","ARU",441,441,441,441,441,441,1,0,0
"G-AMINOBUTYRIC ACID PLASMA","umol/L",3,3,3,3,3,3,1,0,0
"SSA 52 (RO) AB, IGG","AU/mL",16,16,16,16,16,16,1,0,0
"PHOSPHOETHANOLAMINE S QT PLASMA","umol/L",28,28,28,28,28,28,1,0,0
"CSF OLIGOCLONAL BANDS NUMBER","Bands",0,0,0,0,0,0,1,0,0
"WEEK GEST AGE BASED ON","",16,16,16,16,16,16,1,0,0
"RUBELLA IGM AB","IV",0.12,0.12,0.12,0.12,0.12,0.12,1,0,0
"BETA-2 MICROGLOBULIN, CSF","mg/L",1.9,1.9,1.9,1.9,1.9,1.9,1,0,0
"VALPROIC ACID, TOTAL","ug/mL",44,44,44,44,44,44,1,0,0
"TOTAL CO2, MIXED","mmol/L",26,26,26,26,26,26,1,0,0
"RESPIRATORY QUOTIENT (RQ) AT","",1.04,1.04,1.04,1.04,1.04,1.04,1,0,0
"VO2 IDEAL LBM (ML/KG LBM/MIN) - REST","mL/kgLBM/min",7.1,7.1,7.1,7.1,7.1,7.1,1,0,0
"VO2 (ML/KG/MIN) AT","mL/kg/min",16.2,16.2,16.2,16.2,16.2,16.2,1,0,0
"VLDL-C/TOTAL TRIG. RATIO - LIPID LAB","",0.16,0.16,0.16,0.16,0.16,0.16,1,0,0
"IGG, CSF","mg/dL",8.9,8.9,8.9,8.9,8.9,8.9,1,0,0
"VO2 IDEAL LBM (ML/KG LBM/MIN) - PEAK","mL/kgLBM/min",22.8,22.8,22.8,22.8,22.8,22.8,1,0,0
"CSF RBC 4","CELLS/uL",4,4,4,4,4,4,1,0,0
"LEAD, UR (UG/D)","ug/d",0,0,0,0,0,0,1,0,0
"SPO2 AT","%",95,95,95,95,95,95,1,0,0
"COLL INTERVAL","hr",24,24,24,24,24,24,1,0,0
"DNA STORAGE","ug",490.6,490.6,490.6,490.6,490.6,490.6,1,0,0
"FACTOR IX ACTIVITY","U/mL",0.23,0.23,0.23,0.23,0.23,0.23,1,0,0
"HEART RATE RESERVE - PEAK","%",-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,1,0,0
"AG 5 RESULT","Class",0,0,0,0,0,0,1,0,0
"VONWILLEBRAND ANTIGEN, PLASMA","U/mL",1.07,1.07,1.07,1.07,1.07,1.07,1,0,0
"AFPA PT. MOM","",1.25,1.25,1.25,1.25,1.25,1.25,1,0,0
"CSF WBC 1","CELLS/uL",290,290,290,290,290,290,1,0,0
"","",NA,NA,NA,NA,NA,NA,0,0,NA
"MUCOUS (UR)","/lpf",NA,NA,NA,NA,NA,NA,0,0,NA
"LINK TO MUSE WEB","",NA,NA,NA,NA,NA,NA,0,0,NA
"CULTURE RESULT","",NA,NA,NA,NA,NA,NA,0,0,NA
"RH TYPE","",NA,NA,NA,NA,NA,NA,0,0,NA
"STATUS OF UNIT","",NA,NA,NA,NA,NA,NA,0,0,NA
"UNIT ABO","",NA,NA,NA,NA,NA,NA,0,0,NA
"NITRITES (UR)","",NA,NA,NA,NA,NA,NA,0,0,NA
"UNIT RH","",NA,NA,NA,NA,NA,NA,0,0,NA
"MR BRAIN TUMOR FOLLOW-UP WWO CONTRAST","",NA,NA,NA,NA,NA,NA,0,0,NA
"URIC ACID CRYSTALS (UR)","/hpf",NA,NA,NA,NA,NA,NA,0,0,NA
"APPEARANCE (UR)","",NA,NA,NA,NA,NA,NA,0,0,NA
"RESPIRATORY CARE","",NA,NA,NA,NA,NA,NA,0,0,NA
"X-RAY PORT CHEST 1 VW","",NA,NA,NA,NA,NA,NA,0,0,NA
"LEUKOCYTE ESTERASE (UR)","",NA,NA,NA,NA,NA,NA,0,0,NA
"CTA CHEST PULMONARY EMBOLISM","",NA,NA,NA,NA,NA,NA,0,0,NA
"NOROVIRUS","",NA,NA,NA,NA,NA,NA,0,0,NA
"US PORT KIDNEY & BLADDER","",NA,NA,NA,NA,NA,NA,0,0,NA
"TOTAL BILI COMMENTS","",NA,NA,NA,NA,NA,NA,0,0,NA
"MA DIAGNOSTIC MAMMO CAD","",NA,NA,NA,NA,NA,NA,0,0,NA
"BILIRUBIN (UR)","",NA,NA,NA,NA,NA,NA,0,0,NA
"GYN CYTOLOGY","",NA,NA,NA,NA,NA,NA,0,0,NA
"ABO GROUP","",NA,NA,NA,NA,NA,NA,0,0,NA
"PRODUCT DESCRIPTION","",NA,NA,NA,NA,NA,NA,0,0,NA
"COLOR (UR)","",NA,NA,NA,NA,NA,NA,0,0,NA
"AUTOPSY, FINAL DIAGNOSIS","",NA,NA,NA,NA,NA,NA,0,0,NA
"SOURCE BODY SITE","",NA,NA,NA,NA,NA,NA,0,0,NA
"MACROCYTOSIS","",NA,NA,NA,NA,NA,NA,0,0,NA
"PULMONARY FUNCTION","",NA,NA,NA,NA,NA,NA,0,0,NA
"ARCHIVE CYTOLOGY","",NA,NA,NA,NA,NA,NA,0,0,NA
"SURGICAL PATHOLOGY","",NA,NA,NA,NA,NA,NA,0,0,NA
"EDIEPID","",NA,NA,NA,NA,NA,NA,0,0,NA
"PO2, CAPILLARY","mmHg",NA,NA,NA,NA,NA,NA,0,0,NA
"GA INJ 72 HRS PRIOR TO IMAGE","",NA,NA,NA,NA,NA,NA,0,0,NA
"TRIPLE P04 CRYSTALS (UR)","/hpf",NA,NA,NA,NA,NA,NA,0,0,NA
"ANTIBODY SCREEN","",NA,NA,NA,NA,NA,NA,0,0,NA
"URINE CULTURE","",NA,NA,NA,NA,NA,NA,0,0,NA
"CT ABDOMEN & PELVIS W CONTRAST","",NA,NA,NA,NA,NA,NA,0,0,NA
"CHEST, 2 VIEWS OR STEREO","",NA,NA,NA,NA,NA,NA,0,0,NA
"NM BONE IMG WHOLE BODY","",NA,NA,NA,NA,NA,NA,0,0,NA
"FOOT 3 VIEWS RIGHT","",NA,NA,NA,NA,NA,NA,0,0,NA
